feature_set,target,task,model,cv_scheme,feature_type,n_components,train_pearson_r_mean,train_pearson_r_std,train_mse_mean,train_mse_std,test_pearson_r_mean,test_pearson_r_std,test_mse_mean,test_mse_std,train_f1_mean,train_f1_std,train_accuracy_mean,train_accuracy_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std
pca_25,arousal,regression,mlp_regressor,kfold,pca,25.0,0.8366465657754663,0.017272004975563915,0.010930820371836002,0.0010612033749712961,0.6094214709484967,0.03096475199030524,0.024771990031469737,0.0020626029891404295,,,,,,,,
pca_25,valence,regression,linear_regression,group_kfold,pca,25.0,0.3093983408836916,0.008919183106435956,0.014575893061922049,0.0004360406245138753,0.2916984335091859,0.16009555406010467,0.01547444243770308,0.007855860069998333,,,,,,,,
pca_25,valence,regression,linear_regression,kfold,pca,25.0,0.30854983603454816,0.0016930565615732394,0.014597816985757421,6.575020947190561e-05,0.3019604965835354,0.028972027973020537,0.014666217654771628,0.001119058137871059,,,,,,,,
pca_25,valence,regression,mlp_regressor,group_kfold,pca,25.0,0.7300337223869637,0.04423548477742731,0.007544232849379128,0.0010233233954321664,0.16764603345608245,0.11437697890246232,0.020958320940553266,0.007354030511289158,,,,,,,,
pca_25,valence,regression,mlp_regressor,kfold,pca,25.0,0.7371318540434878,0.0459370449641539,0.0074308666307374704,0.0011438000837704647,0.45498576368067123,0.04282856600258815,0.014092486922211591,0.001099731931487287,,,,,,,,
pca_30,arousal,regression,linear_regression,group_kfold,pca,30.0,0.47614193555601514,0.007827915657112855,0.02789155840166631,0.0005802775714568763,0.48571915480994715,0.10510500217810098,0.02987055442656818,0.010423004873877493,,,,,,,,
pca_30,arousal,regression,linear_regression,kfold,pca,30.0,0.47532174949467554,0.001180133991875572,0.027939803253989235,7.807730592773593e-05,0.4708614182211156,0.020243435280277743,0.0281038390100547,0.0013529134493095074,,,,,,,,
pca_30,arousal,regression,mlp_regressor,group_kfold,pca,30.0,0.8668132608625807,0.026946954930676125,0.009158819896068184,0.0017728723292755617,0.3413262285269513,0.08987650048140818,0.039204387997543014,0.0084527909860119,,,,,,,,
pca_30,arousal,regression,mlp_regressor,kfold,pca,30.0,0.8635522052390151,0.03220024021006588,0.009258430719077337,0.002016169231135676,0.6493769859714968,0.029668341703437687,0.02292630011317901,0.0028282064921648867,,,,,,,,
pca_30,valence,regression,linear_regression,group_kfold,pca,30.0,0.3549753355585419,0.009133426326484005,0.014087249149394703,0.0004104453252780125,0.3403312011223273,0.1550753418557968,0.015067854697054094,0.007410610784993467,,,,,,,,
pca_30,valence,regression,linear_regression,kfold,pca,30.0,0.3540883449166667,0.0015361469828600828,0.014110983287687525,6.522987571518533e-05,0.3480548794680728,0.02578116979336198,0.014185806421907667,0.0011094974213236115,,,,,,,,
pca_30,valence,regression,mlp_regressor,group_kfold,pca,30.0,0.7733179880249677,0.05747930426385824,0.0066619405183513175,0.0016283544651865618,0.17738087419493434,0.14353272347172877,0.022696835945846247,0.006973720796340723,,,,,,,,
pca_30,valence,regression,mlp_regressor,kfold,pca,30.0,0.7554574164765295,0.053148978798681995,0.007083322016048116,0.0015559084891476449,0.4906084258767485,0.038345264602035245,0.013612877474710952,0.0013383486261056186,,,,,,,,
pca_5,arousal,regression,linear_regression,group_kfold,pca,5.0,0.28846454213511863,0.007268084128654067,0.033069143828570714,0.0006790240240012148,0.2806793089738397,0.12785256404630307,0.034293075965917456,0.01195609023936325,,,,,,,,
pca_5,arousal,regression,linear_regression,kfold,pca,5.0,0.28800384134406076,0.0019742372896975734,0.033100755583219815,0.00010538922631073253,0.2883155120148253,0.03150772416498558,0.03315041498777805,0.001812859900948233,,,,,,,,
pca_5,arousal,regression,mlp_regressor,group_kfold,pca,5.0,0.5012423775123982,0.009393051599882333,0.02711762223706938,0.0006111847589352523,0.31644517250131865,0.12197804348183251,0.03206555178180349,0.008707846994766863,,,,,,,,
pca_5,arousal,regression,mlp_regressor,kfold,pca,5.0,0.4966721699651528,0.010695697366479287,0.027385267767669072,0.0005238121220942705,0.44244557185912853,0.029022935629699008,0.029322562763276876,0.0014794846603145284,,,,,,,,
pca_5,valence,regression,linear_regression,group_kfold,pca,5.0,0.09901124141606098,0.005375490243318341,0.015962797159878236,0.0004975816044485229,0.07455326096877331,0.10725821877714205,0.01653577153632647,0.008833364963126878,,,,,,,,
pca_5,valence,regression,linear_regression,kfold,pca,5.0,0.09841572536084725,0.0017451583078675315,0.015977551807116578,7.27822038557266e-05,0.09643981764027744,0.030265014103465913,0.015989291856510653,0.0012362246138951818,,,,,,,,
pca_5,valence,regression,mlp_regressor,group_kfold,pca,5.0,0.2713855846112417,0.028373211918733963,0.015073877005598464,0.0006045293806415166,0.03899907624645437,0.09744434243595186,0.01749948285879309,0.0084744908645046,,,,,,,,
pca_5,valence,regression,mlp_regressor,kfold,pca,5.0,0.2601455173716874,0.02814212776016673,0.015216733439833756,0.000417749739511169,0.1748787114240306,0.03228270564524518,0.01597671437741298,0.0012171915344681608,,,,,,,,
raw,arousal,regression,linear_regression,group_kfold,raw,,0.5550896997348536,0.006684233724943174,0.024956113699480746,0.0005610245094366301,0.5192657113744004,0.07899906142182579,0.029293093784944695,0.010207612640338721,,,,,,,,
raw,arousal,regression,linear_regression,kfold,raw,,0.553253886553515,0.001187592281190628,0.025046431281672166,5.892156967422946e-05,0.5390792887808373,0.020388302305072138,0.025610472984166147,0.0010358876086628463,,,,,,,,
raw,arousal,regression,mlp_regressor,group_kfold,raw,,0.8163375875795631,0.05980964289326019,0.012471417809916027,0.003982883927625546,0.3850810386293951,0.12685440011526503,0.03672288506542813,0.009031647041310688,,,,,,,,
raw,arousal,regression,mlp_regressor,kfold,raw,,0.7719585604006025,0.08109464499160142,0.01616339523528583,0.006754299155892725,0.6714499060307887,0.06859893358235729,0.021636124782141688,0.005480016018367444,,,,,,,,
raw,valence,regression,linear_regression,group_kfold,raw,,0.4503068157483869,0.009400889811658425,0.012849277304359107,0.0003738061130445436,0.35771226571836234,0.17855807130647186,0.014982865055660191,0.006785354423685401,,,,,,,,
raw,valence,regression,linear_regression,kfold,raw,,0.4481041041281713,0.0016143946813683278,0.01289414193240316,5.25509617309995e-05,0.4257182839194993,0.02853909858126666,0.01320674799711092,0.0008907164327807138,,,,,,,,
raw,valence,regression,mlp_regressor,group_kfold,raw,,0.6949132840628751,0.08144161229061546,0.009319012700826915,0.0031550454830639022,0.22101269803832876,0.11846230010969457,0.020421721751687636,0.0061970730963114675,,,,,,,,
raw,valence,regression,mlp_regressor,kfold,raw,,0.7279807010548578,0.06548804685439626,0.008042459882147511,0.0019371916140852284,0.5584657455313209,0.03714254116159377,0.012382615473201113,0.0011258390732490195,,,,,,,,
slow_deg2_10,arousal,regression,linear_regression,group_kfold,slow_deg2,10.0,0.19106471080723536,0.009268944032769016,0.0347537089503952,0.0007535578306049611,-0.026003873605421616,0.15817800755267175,0.03780832794450809,0.012231971468486778,,,,,,,,
slow_deg2_10,arousal,regression,linear_regression,kfold,slow_deg2,10.0,0.1891485018200059,0.001918144560803202,0.034803345455627674,0.0001127253190828957,0.18811506917569423,0.033641629256090634,0.03483401816621468,0.0019178275126158321,,,,,,,,
slow_deg2_10,arousal,regression,mlp_regressor,group_kfold,slow_deg2,10.0,0.8403184624531652,0.013147120703680331,0.010872671894740457,0.0008613450406237146,-0.010850502475601674,0.14929176912220946,0.1906074629108037,0.5326608790152079,,,,,,,,
slow_deg2_10,arousal,regression,mlp_regressor,kfold,slow_deg2,10.0,0.8345771866162615,0.011403188819615015,0.01111696619792333,0.0008009133036498709,0.786078699789715,0.020010112902826532,0.013916296517535617,0.0009984555655741512,,,,,,,,
slow_deg2_10,valence,regression,linear_regression,group_kfold,slow_deg2,10.0,0.2781326939764823,0.007815061093633993,0.014871757681278389,0.00042319739747292924,0.07388333517352626,0.16751006429327628,0.016493911910939015,0.007753942094217394,,,,,,,,
slow_deg2_10,valence,regression,linear_regression,kfold,slow_deg2,10.0,0.2768201560240223,0.0015644815654073459,0.014897486507476168,6.61298156064993e-05,0.27494534815740734,0.0278016906355977,0.014914233962376107,0.0011246847615913398,,,,,,,,
slow_deg2_10,valence,regression,mlp_regressor,group_kfold,slow_deg2,10.0,0.7840412254044522,0.03450763540238764,0.0063551684397324705,0.0008710883312537261,0.013575278105499505,0.16316158139017117,0.06996783966736013,0.1906071554476753,,,,,,,,
slow_deg2_10,valence,regression,mlp_regressor,kfold,slow_deg2,10.0,0.7822311070951886,0.018733305152462996,0.006406432979461746,0.0005124721503223691,0.7385613201788721,0.030612272219983142,0.007454129645420045,0.0008061902548534502,,,,,,,,
slow_deg2_15,arousal,regression,linear_regression,group_kfold,slow_deg2,15.0,0.2841640438503805,0.00994484559499333,0.03315710433604916,0.0007322554410016021,0.07619287057197369,0.18791481868647852,0.036995516829223994,0.011045523577408047,,,,,,,,
slow_deg2_15,arousal,regression,linear_regression,kfold,slow_deg2,15.0,0.2821947828102814,0.0013898493403396873,0.033220360156251814,9.325833913553657e-05,0.28061851410928274,0.02441894662229407,0.033289019176583126,0.0015897902699541675,,,,,,,,
slow_deg2_15,arousal,regression,mlp_regressor,group_kfold,slow_deg2,15.0,0.9100694294045463,0.009975794909600851,0.006352783191495694,0.0006256105000125139,0.09511029713132967,0.1356868534701538,0.0840628416018633,0.07460717005864873,,,,,,,,
slow_deg2_15,arousal,regression,mlp_regressor,kfold,slow_deg2,15.0,0.9079973107437112,0.012816845649659495,0.006461983988166214,0.0008673163618446797,0.8667922385294393,0.01706471316842191,0.009093382781444514,0.0011570523920015306,,,,,,,,
slow_deg2_15,valence,regression,linear_regression,group_kfold,slow_deg2,15.0,0.3276164333560652,0.01096767957521078,0.014387260236681779,0.00040760201910420847,0.12267575508297268,0.17585725221556636,0.017072278111668653,0.008401112092664576,,,,,,,,
slow_deg2_15,valence,regression,linear_regression,kfold,slow_deg2,15.0,0.3249792414135914,0.0014307221777052931,0.014429907152104987,6.596876522956117e-05,0.32250016170559714,0.025350218464524718,0.014463575346755443,0.001121947415511291,,,,,,,,
slow_deg2_15,valence,regression,mlp_regressor,group_kfold,slow_deg2,15.0,0.8711904169832727,0.021186241867055134,0.003990819766259774,0.0007082869896702771,0.0712998283874711,0.14625361188684263,0.03505988200651219,0.03850679808583563,,,,,,,,
slow_deg2_15,valence,regression,mlp_regressor,kfold,slow_deg2,15.0,0.8773260239262126,0.009994634612927886,0.0037735367715148183,0.0003015377509219075,0.8385928392106212,0.013105153513150041,0.00483319234119082,0.0004217676290144016,,,,,,,,
slow_deg2_20,arousal,regression,linear_regression,group_kfold,slow_deg2,20.0,0.33082870059246644,0.01081677355848644,0.0321205392520748,0.0006993814524711819,0.1132323116531169,0.17550853936549776,0.041382400866667744,0.014726377439839714,,,,,,,,
slow_deg2_20,arousal,regression,linear_regression,kfold,slow_deg2,20.0,0.32643316367966546,0.0014776551652860553,0.03224849728196119,8.889524661220247e-05,0.324493575204568,0.0256864179031476,0.03234158962616023,0.001511365329633626,,,,,,,,
slow_deg2_20,arousal,regression,mlp_regressor,group_kfold,slow_deg2,20.0,0.9364278464986528,0.013993996268652586,0.004499363726578987,0.0009091030823851289,0.07597401475917566,0.16732856471700874,0.08865538150204484,0.07808671197273065,,,,,,,,
slow_deg2_20,arousal,regression,mlp_regressor,kfold,slow_deg2,20.0,0.9415602531846934,0.007801680963271333,0.004189994393482324,0.0005470750228384098,0.9081968431087319,0.009008517523002172,0.006411293550770885,0.0005318821920861157,,,,,,,,
slow_deg2_20,valence,regression,linear_regression,group_kfold,slow_deg2,20.0,0.3534557901179933,0.012155377284469368,0.01410255463531425,0.00038660612887660487,0.09609585573783128,0.17812294923311717,0.0171273590390912,0.007955423238037374,,,,,,,,
slow_deg2_20,valence,regression,linear_regression,kfold,slow_deg2,20.0,0.3503837752528697,0.0013908386777535698,0.014153074138513097,6.005082408046767e-05,0.34721101993570175,0.024222208645139163,0.014194767819388237,0.0010197442153122216,,,,,,,,
slow_deg2_20,valence,regression,mlp_regressor,group_kfold,slow_deg2,20.0,0.914848764940519,0.02005467378147311,0.0026940940479392873,0.0006131608548638507,0.04720866365534829,0.15966755233600383,0.05256333708519296,0.08815231689446996,,,,,,,,
slow_deg2_20,valence,regression,mlp_regressor,kfold,slow_deg2,20.0,0.9186426859970356,0.009043535742817821,0.002593162515136244,0.0003486055966504354,0.888451409506016,0.014875372804942402,0.003471440467708907,0.00044751950509800027,,,,,,,,
slow_deg2_25,arousal,regression,linear_regression,group_kfold,slow_deg2,25.0,0.46663100821582937,0.009648092421811128,0.028214455914236505,0.0006429082877815532,0.2470219310563023,0.19919905008689956,0.04136654893194005,0.018805151760391502,,,,,,,,
slow_deg2_25,arousal,regression,linear_regression,kfold,slow_deg2,25.0,0.4623553475601743,0.0016037908308517577,0.028378591166633733,7.930565478549732e-05,0.4595737244583514,0.026558341809007586,0.028490768685244496,0.0013371637866433064,,,,,,,,
slow_deg2_25,arousal,regression,mlp_regressor,group_kfold,slow_deg2,25.0,0.9561983145483803,0.004933900908902484,0.0031523734020133943,0.00037292800484570193,0.15931792708144377,0.1991864973558475,0.10515962149270787,0.16068971074434568,,,,,,,,
slow_deg2_25,arousal,regression,mlp_regressor,kfold,slow_deg2,25.0,0.9522075828031942,0.006418350245024105,0.0034182123948401275,0.00045894339321334596,0.9239053460073318,0.009525908432312193,0.005324262855396827,0.0005573040907599178,,,,,,,,
slow_deg2_25,valence,regression,linear_regression,group_kfold,slow_deg2,25.0,0.40202179969769847,0.014246595845859706,0.013508757505181478,0.00033591069236839843,0.10697892629026513,0.18089490965642813,0.019582996931079257,0.008122812624551865,,,,,,,,
slow_deg2_25,valence,regression,linear_regression,kfold,slow_deg2,25.0,0.3969477444357555,0.0016384648175675704,0.013591626175018063,5.971785546568738e-05,0.39357829613312606,0.028033527211926004,0.013642945352393373,0.0010141003876951,,,,,,,,
slow_deg2_25,valence,regression,mlp_regressor,group_kfold,slow_deg2,25.0,0.9344937537176248,0.012902425788378604,0.002090735252466028,0.0003876843609840519,0.007888222961025988,0.14522132438771512,0.04840142802978574,0.03342524865386848,,,,,,,,
slow_deg2_25,valence,regression,mlp_regressor,kfold,slow_deg2,25.0,0.9326215650431039,0.012528929849921771,0.0021496896474969096,0.00037725384254282736,0.9044263028789759,0.012975943425668239,0.0029776729620217745,0.0003428530626270646,,,,,,,,
slow_deg2_30,arousal,regression,linear_regression,group_kfold,slow_deg2,30.0,0.48183206336374457,0.008901817079762382,0.027695279927983395,0.0006412184932036149,0.23047789602884558,0.19520840941807963,0.04027157688400068,0.018067913885231785,,,,,,,,
slow_deg2_30,arousal,regression,linear_regression,kfold,slow_deg2,30.0,0.4777779494240184,0.0014572281489788797,0.027855290338280398,8.713870980593871e-05,0.47494285904817485,0.024182394653738053,0.027973990029527804,0.0014756975838365596,,,,,,,,
slow_deg2_30,arousal,regression,mlp_regressor,group_kfold,slow_deg2,30.0,0.9618933021797711,0.007499598789523256,0.0027377240362938507,0.0005381373966514441,0.14695541399091536,0.17743628401720812,0.07955954179535679,0.06186487635758411,,,,,,,,
slow_deg2_30,arousal,regression,mlp_regressor,kfold,slow_deg2,30.0,0.9608496960111249,0.009893833105243884,0.0028768944699075674,0.0007721816859217849,0.9355883218018494,0.011739603308322613,0.0045957446950881855,0.0008704000541866647,,,,,,,,
slow_deg2_30,valence,regression,linear_regression,group_kfold,slow_deg2,30.0,0.432764727937043,0.012883923538211156,0.013095606175079811,0.0003220848651341967,0.09201489444279708,0.1819893773448005,0.019617895557307148,0.008778290833669485,,,,,,,,
slow_deg2_30,valence,regression,linear_regression,kfold,slow_deg2,30.0,0.4280629633148276,0.001511237636110403,0.013177459215206846,5.539895738773465e-05,0.4239401100079301,0.025129594886132114,0.013240604716099271,0.0009419160667846062,,,,,,,,
slow_deg2_30,valence,regression,mlp_regressor,group_kfold,slow_deg2,30.0,0.9382533944368069,0.01421263276341543,0.001970945068004108,0.0004241522211859531,0.03429669832610655,0.1744542424440983,0.05518386175525754,0.04860376640497954,,,,,,,,
